expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_GROW,NR_COMP,FR	299 	250 	205 	184 	197 	219 	131 	133 	50 
INV_GROW,NR_COMP,HU	0 	3 	6 	4 	3 	4 	6 	4 	3 
INV_GROW,NR_COMP,IE	2 	5 	1 	2 	1 	1 	6 	1 	3 
INV_GROW,NR_COMP,IT	15 	22 	19 	30 	21 	42 	50 	32 	19 
INV_GROW,NR_COMP,LU	0 	6 	4 	7 	6 	4 	5 	2 	0 
INV_GROW,NR_COMP,NL	70 	71 	69 	78 	92 	58 	52 	33 	14 
INV_GROW,NR_COMP,NO	23 	24 	14 	22 	27 	11 	21 	16 	13 
INV_GROW,NR_COMP,PL	26 	16 	13 	24 	21 	20 	8 	10 	8 
INV_GROW,NR_COMP,PT	26 	29 	17 	22 	14 	7 	9 	7 	1 
INV_GROW,NR_COMP,RO	4 	5 	5 	7 	7 	9 	10 	7 	3 
INV_GROW,NR_COMP,SE	23 	25 	22 	21 	27 	48 	48 	34 	19 
INV_GROW,NR_COMP,UK	133 	166 	121 	125 	151 	201 	164 	171 	117 
INV_REPL,MIO_EUR,AT	0 	2 	10 	1 	12 	5 	15 	5 	4 
INV_REPL,MIO_EUR,BE	18 	33 	41 	18 	2 	18 	110 	10 	102 
INV_REPL,MIO_EUR,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,MIO_EUR,CH	27 	182 	123 	0 	0 	37 	1 	0 	0 
INV_REPL,MIO_EUR,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,MIO_EUR,DE	165 	120 	85 	63 	86 	58 	74 	250 	257 
INV_REPL,MIO_EUR,DK	5 	13 	0 	7 	0 	8 	0 	2 	15 
INV_REPL,MIO_EUR,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,MIO_EUR,ES	81 	36 	21 	58 	66 	59 	68 	27 	466 
INV_REPL,MIO_EUR,EU15	578 	638 	815 	1080 	1462 	1852 	1776 	1638 	1982 
INV_REPL,MIO_EUR,FI	2 	4 	6 	25 	2 	9 	149 	16 	8 
INV_REPL,MIO_EUR,FR	112 	192 	135 	233 	98 	186 	193 	124 	236 
INV_REPL,MIO_EUR,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,MIO_EUR,IE	0 	6 	0 	0 	0 	0 	0 	0 	1 
INV_REPL,MIO_EUR,IT	30 	14 	43 	37 	7 	59 	385 	222 	78 
INV_REPL,MIO_EUR,LU	0 	0 	7 	3 	28 	0 	9 	12 	1 
INV_REPL,MIO_EUR,NL	46 	48 	33 	32 	48 	196 	139 	149 	62 
INV_REPL,MIO_EUR,NO	0 	1 	0 	1 	8 	6 	4 	3 	16 
INV_REPL,MIO_EUR,PL	5 	2 	25 	27 	0 	16 	3 	0 	8 
